"subject" "activity" "signal" "measurement"
1 "LAYING" "tBodyAcc.mean().X" 0.22159824394
2 "LAYING" "tBodyAcc.mean().X" 0.281373403958333
3 "LAYING" "tBodyAcc.mean().X" 0.275516852741935
4 "LAYING" "tBodyAcc.mean().X" 0.263559214981481
5 "LAYING" "tBodyAcc.mean().X" 0.278334325576923
6 "LAYING" "tBodyAcc.mean().X" 0.248656520140351
7 "LAYING" "tBodyAcc.mean().X" 0.250176694038462
8 "LAYING" "tBodyAcc.mean().X" 0.261254282907407
9 "LAYING" "tBodyAcc.mean().X" 0.2591955368
10 "LAYING" "tBodyAcc.mean().X" 0.280230574137931
11 "LAYING" "tBodyAcc.mean().X" 0.280592970877193
12 "LAYING" "tBodyAcc.mean().X" 0.260113433
13 "LAYING" "tBodyAcc.mean().X" 0.276716360483871
14 "LAYING" "tBodyAcc.mean().X" 0.233275439803922
15 "LAYING" "tBodyAcc.mean().X" 0.2894756525
16 "LAYING" "tBodyAcc.mean().X" 0.274227162571429
17 "LAYING" "tBodyAcc.mean().X" 0.269780085577465
18 "LAYING" "tBodyAcc.mean().X" 0.274691576923077
19 "LAYING" "tBodyAcc.mean().X" 0.272653733493976
20 "LAYING" "tBodyAcc.mean().X" 0.239507882205882
21 "LAYING" "tBodyAcc.mean().X" 0.271325472455556
22 "LAYING" "tBodyAcc.mean().X" 0.279959721194444
23 "LAYING" "tBodyAcc.mean().X" 0.274038007986111
24 "LAYING" "tBodyAcc.mean().X" 0.272850494930556
25 "LAYING" "tBodyAcc.mean().X" 0.250791828613699
26 "LAYING" "tBodyAcc.mean().X" 0.271645864540789
27 "LAYING" "tBodyAcc.mean().X" 0.274102492432432
28 "LAYING" "tBodyAcc.mean().X" 0.2759134825
29 "LAYING" "tBodyAcc.mean().X" 0.287295196811594
30 "LAYING" "tBodyAcc.mean().X" 0.281033900571429
1 "SITTING" "tBodyAcc.mean().X" 0.261237565425532
2 "SITTING" "tBodyAcc.mean().X" 0.27708735173913
3 "SITTING" "tBodyAcc.mean().X" 0.257197599134615
4 "SITTING" "tBodyAcc.mean().X" 0.27153827992
5 "SITTING" "tBodyAcc.mean().X" 0.273694139545455
6 "SITTING" "tBodyAcc.mean().X" 0.276778487454545
7 "SITTING" "tBodyAcc.mean().X" 0.284674637291667
8 "SITTING" "tBodyAcc.mean().X" 0.267491472934783
9 "SITTING" "tBodyAcc.mean().X" 0.24832674354
10 "SITTING" "tBodyAcc.mean().X" 0.270612056481481
11 "SITTING" "tBodyAcc.mean().X" 0.276590197358491
12 "SITTING" "tBodyAcc.mean().X" 0.275007224901961
13 "SITTING" "tBodyAcc.mean().X" 0.274328499591837
14 "SITTING" "tBodyAcc.mean().X" 0.279990577037037
15 "SITTING" "tBodyAcc.mean().X" 0.27290337979661
16 "SITTING" "tBodyAcc.mean().X" 0.280768574492754
17 "SITTING" "tBodyAcc.mean().X" 0.2773570196875
18 "SITTING" "tBodyAcc.mean().X" 0.27727001877193
19 "SITTING" "tBodyAcc.mean().X" 0.273830316164384
20 "SITTING" "tBodyAcc.mean().X" 0.278045439090909
21 "SITTING" "tBodyAcc.mean().X" 0.277539616823529
22 "SITTING" "tBodyAcc.mean().X" 0.273583822709677
23 "SITTING" "tBodyAcc.mean().X" 0.273351251617647
24 "SITTING" "tBodyAcc.mean().X" 0.273475690147059
25 "SITTING" "tBodyAcc.mean().X" 0.278541482461538
26 "SITTING" "tBodyAcc.mean().X" 0.258243530166667
27 "SITTING" "tBodyAcc.mean().X" 0.273941302571429
28 "SITTING" "tBodyAcc.mean().X" 0.276977629444444
29 "SITTING" "tBodyAcc.mean().X" 0.2771799775
30 "SITTING" "tBodyAcc.mean().X" 0.268336081379032
1 "STANDING" "tBodyAcc.mean().X" 0.278917629056604
2 "STANDING" "tBodyAcc.mean().X" 0.277911472222222
3 "STANDING" "tBodyAcc.mean().X" 0.280046513278689
4 "STANDING" "tBodyAcc.mean().X" 0.280499745892857
5 "STANDING" "tBodyAcc.mean().X" 0.282544390892857
6 "STANDING" "tBodyAcc.mean().X" 0.280346248596491
7 "STANDING" "tBodyAcc.mean().X" 0.282723539433962
8 "STANDING" "tBodyAcc.mean().X" 0.279620986111111
9 "STANDING" "tBodyAcc.mean().X" 0.282310057333333
10 "STANDING" "tBodyAcc.mean().X" 0.276650300681818
11 "STANDING" "tBodyAcc.mean().X" 0.277715562765957
12 "STANDING" "tBodyAcc.mean().X" 0.277405834918033
13 "STANDING" "tBodyAcc.mean().X" 0.277758431052632
14 "STANDING" "tBodyAcc.mean().X" 0.280545613833333
15 "STANDING" "tBodyAcc.mean().X" 0.278915803962264
16 "STANDING" "tBodyAcc.mean().X" 0.283497402948718
17 "STANDING" "tBodyAcc.mean().X" 0.277942503333333
18 "STANDING" "tBodyAcc.mean().X" 0.278458805890411
19 "STANDING" "tBodyAcc.mean().X" 0.27817226
20 "STANDING" "tBodyAcc.mean().X" 0.278076904657534
21 "STANDING" "tBodyAcc.mean().X" 0.27695224258427
22 "STANDING" "tBodyAcc.mean().X" 0.279053861587302
23 "STANDING" "tBodyAcc.mean().X" 0.277899323235294
24 "STANDING" "tBodyAcc.mean().X" 0.280348883913043
25 "STANDING" "tBodyAcc.mean().X" 0.278013701621622
26 "STANDING" "tBodyAcc.mean().X" 0.281127035405405
